feature,iv,strength
F14_ext_source_2_Z,0.3346,STRONG
F15_ext_source_3_Z,0.3125,STRONG
F17_days_employed_Z,0.1063,MEDIUM
F16_days_birth_Z,0.0719,WEAK
F18_phone_change_Z,0.0684,WEAK
F3_income_irregularity_Z,0.0247,WEAK
F1_emi_to_income_Z,0.0096,USELESS
F12_cross_loan_consistency_Z,0.0076,USELESS
mean_daily_change_Z,0.0073,USELESS
std_balance_Z,0.0061,USELESS
F8_stress_velocity_Z,0.0055,USELESS
F9_payment_timing_entropy_Z,0.005,USELESS
mean_balance_Z,0.0031,USELESS
F4_spend_shift_Z,0.0022,USELESS
F10_cohort_stress_Z,0.0018,USELESS
F7_cash_hoarding_Z,0.0015,USELESS
F2_savings_drawdown_Z,0.0007,USELESS
negative_day_rate_Z,0.0004,USELESS
F6_lending_app_count_Z,0.0,USELESS
F5_autodebit_failures_Z,0.0,USELESS
F13_secondary_income_Z,0.0,USELESS
F11_overdraft_freq_Z,0.0,USELESS
